更新时间: 2026-06-01 04:15:15（北京时间）

更新时间,#genre#
2026-06-01 04:15:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

黑莓电影,http://183.220.107.138:4022/rtp/239.11.0.148:5140$四川移动
乐游,http://60.223.72.54:8002/rtp/226.0.2.77:8528$山西联通
生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140$四川移动
生活时尚,http://60.223.72.54:8002/rtp/226.0.2.84:8584$山西联通
都市剧场,http://183.220.107.138:4022/rtp/239.10.0.106:5140$四川移动
都市剧场,http://60.223.72.54:8002/rtp/226.0.2.81:8560$山西联通
欢笑剧场,http://183.220.107.138:4022/rtp/239.10.0.129:5140$四川移动
游戏风云,http://183.220.107.138:4022/rtp/239.10.0.103:5140$四川移动
游戏风云,http://60.223.72.54:8002/rtp/226.0.2.78:8536$山西联通
金色学堂,http://60.223.72.54:8002/rtp/226.0.2.182:9368$山西联通
动漫秀场,http://183.220.107.138:4022/rtp/239.10.0.101:5140$四川移动
动漫秀场,http://60.223.72.54:8002/rtp/226.0.2.183:9376$山西联通
新动漫,http://183.220.107.138:4022/rtp/239.10.0.159:5140$四川移动
新动漫,http://60.223.72.54:8002/rtp/226.0.2.73:8496$山西联通
卡酷少儿,http://183.220.107.138:4022/rtp/239.11.0.129:5140$四川移动
卡酷少儿,http://60.223.72.54:8002/rtp/226.0.2.57:8368$山西联通
金鹰卡通,http://183.220.107.138:4022/rtp/239.11.0.127:5140$四川移动
金鹰卡通,http://60.223.72.54:8002/rtp/226.0.2.172:9288$山西联通
优漫卡通,http://183.220.107.138:4022/rtp/239.11.0.63:5140$四川移动
哈哈炫动,http://183.220.107.138:4022/rtp/239.11.0.64:5140$四川移动
哈哈炫动,http://60.223.72.54:8002/rtp/226.0.2.44:8264$山西联通
嘉佳卡通,http://183.220.107.138:4022/rtp/239.11.0.203:5140$四川移动
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140$四川移动
中国天气,http://60.223.72.54:8002/rtp/226.0.2.103:8736$山西联通

